,Unnamed: 0,id,created_at,text,categories,Policy,Republican candidates,Polls,Attacking media,Democratic candidates,Attacking women (excluding Clinton),Kasich,Bush,Cruz,Rubio,Clinton,is_retweet,exclamation_count
0,0,7.656299398110208e+17,2016-08-16 19:22:57,"It's just a 2-point race, Clinton 38%, Trump 36%' https://t.co/EzDzJ4EzIN","Polls, Clinton, Trump",False,False,True,False,False,False,False,False,False,False,True,False,0
1,1,7.587318801831936e+17,2016-07-28 18:32:31,"""@LallyRay: Poll: Donald Trump Sees 17-Point Positive Swing in Two Weeks - Breitbart https://t.co/bVAj52fA3Y @realdonaldtrump""  Great!","Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,1
2,2,7.583504704024084e+17,2016-07-27 17:16:56,"Great new poll - thank you!
#MakeAmericaGreatAgain https://t.co/mXovx0TLPC","Polls, ",False,False,True,False,False,False,False,False,False,False,False,False,1
3,3,7.575775083468882e+17,2016-07-25 14:05:27,"Great POLL numbers are coming out all over. People don't want another four years of Obama, and Crooked Hillary would be even worse. #MAGA","Polls, Democratic candidates, Clinton",False,False,True,False,True,False,False,False,False,False,True,False,0
4,4,7.536034018548818e+17,2016-07-14 14:53:46,"Another new poll. Thank you for your support! Join the MOVEMENT today! 
#ImWithYou https://t.co/3KWOl2ibaW https://t.co/miT4atHxQz","Polls, ",False,False,True,False,False,False,False,False,False,False,False,False,2
5,5,7.53580257895211e+17,2016-07-14 13:21:48,"Great new poll- thank you America!
#Trump2016 #ImWithYou https://t.co/aVH9c5QRwc","Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,1
6,6,7.533532594110546e+17,2016-07-13 22:19:48,Despite spending $500k a day on TV ads alone #CrookedHillary falls flat in nationwide @QuinnipiacPoll. Having ZERO impact. Sad!!,"Attacking media, Polls, Democratic candidates, Clinton",False,False,True,True,True,False,False,False,False,False,True,False,2
7,7,7.526185931965972e+17,2016-07-11 21:40:30,Great poll- Florida! Thank you! https://t.co/4FuPpL5WOM,"Polls, ",False,False,True,False,False,False,False,False,False,False,False,False,2
8,8,7.518892669349642e+17,2016-07-09 21:22:25,"New poll - thank you! #Trump2016
https://t.co/Mi87Vmw06H https://t.co/WmqvcYG4r3","Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,1
9,9,7.48163921383723e+17,2016-06-29 14:39:13,New Q poll out- we are going to win the whole deal- and MAKE AMERICA GREAT AGAIN! #Trump2016 https://t.co/dL5ahNcwZb,"Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,1
10,10,7.472061608062198e+17,2016-06-26 23:13:25,"The ""dirty"" poll done by @ABC @washingtonpost is a disgrace. Even they admit that many more Democrats were polled. Other polls were good.","Polls, Bush",False,False,True,False,False,False,False,True,False,False,False,False,0
11,11,7.471900753441628e+17,2016-06-26 22:09:30,"Hillary Clinton is not a change agent, just the same old status quo! She is spending a fortune, I am spending very little. Close in polls!","Attacking women excluding Clinton, Polls, Clinton",False,False,True,False,False,False,False,False,False,False,True,False,2
12,12,7.471024328622735e+17,2016-06-26 16:21:15,The @ABC poll sample is heavy on Democrats.  Very dishonest - why would they do that? Other polls good!,"Attacking media, Polls",False,False,True,True,False,False,False,False,False,False,False,False,1
13,13,7.375966902579692e+17,2016-05-31 10:48:49,"So many great things happening - new poll numbers looking good! News conference at 11:00 A.M. today, Trump Tower!","Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,2
14,14,7.360163351974584e+17,2016-05-27 02:09:03,Poll data shows that @marcorubio does by far the best in holding onto his Senate seat in Florida. Important to keep the MAJORITY. Run Marco!,"Polls, Republican candidates, Rubio",False,True,True,False,False,False,False,False,False,True,False,False,1
15,15,7.34405641893249e+17,2016-05-22 15:28:44,RT @gatewaypundit: BREAKING POLL: Trump Gains 11 Points on Clinton Since March=&gt; Now Leads Crooked Hillary 46-44 https://t.co/y3BGy15Erb vi…,"Polls, Democratic candidates, Clinton",False,False,True,False,True,False,False,False,False,False,True,True,0
16,16,7.320336047091917e+17,2016-05-16 02:23:06,"Great new poll- thank you!
#MakeAmericaGreatAgain #Trump2016 https://t.co/SZyZ8GkF23","Polls, Trump",False,False,True,False,False,False,False,False,False,False,False,False,1
17,17,7.315017788737495e+17,2016-05-14 15:09:49,Great new poll- thank you! https://t.co/ytzesbCZas,"Polls, ",False,False,True,False,False,False,False,False,False,False,False,False,1
18,18,7.297717310035517e+17,2016-05-09 20:35:13,RT @greta: interesting poll results so far (and go vote on https://t.co/0Zv2YvEdRX) https://t.co/BnsRf9GSxC,Polls,False,False,True,False,False,False,False,False,False,False,False,True,0
19,19,7.240523086617723e+17,2016-04-24 01:48:17,"As soon as John Kasich is hit with negative ads, he will drop like a rock in the polls against Crooked Hillary Clinton. I will win!","Attacking media, Polls, Kasich, Clinton",False,False,True,True,False,False,True,False,False,False,True,False,1
20,20,7.220174285202432e+17,2016-04-18 11:02:24,Kasich only looks O.K. in polls against Hillary because nobody views him as a threat and therefore have placed ZERO negative ads against him,"Polls, Republican candidates, Kasich, Clinton",False,True,True,False,False,False,True,False,False,False,True,False,0
21,21,7.214588786223636e+17,2016-04-16 22:02:55,"""@Ollie_621: @FoxNews @realDonaldTrump I think it's more like 64%. #VoteTrumpNY🗽 #MakeAmericaGreatAgain!","Policy, Republican candidates, Trump",True,True,False,False,False,False,False,False,False,False,False,False,1
